#ff,follow friday
ldttwa,let's do the time warp again
lf,let's f***
lfl,lady of leisure
lfti,looking forward to it
lfu,"life""s f***ed up"
lg,life's good 
lgbt,"lesbian, gay, bisexual, transgender"
lgbtq+,"lesbian, gay, bisexual, transgender, queer +"
lggbdtttiqqaapp,"lesbian, gay, genderqueer, bisexual, demisexual, transgender, transsexual, twospirit, intersex, queer, questioning, asexual, allies, pansexual, polyamorous"
lgmas,lord give me a sign
lh,laughing hysterically
lh6,let’s have sex
lhk,love hugs kisses
lhm,lord have mercy
lho,laughing head off
lhos,lets have online sex
lhso,let's have sex online
lhu,let's hook up
lifo,"last in, first out"
lig,let it go 
lins,"laugh, i nearly shat"
lir,let it rest
lis,laughing in silence
ljbf,let's just be friends
lkitr,little kid in the room
ll,livin' large
llap,live long and prosper
llom,like leno on meth
llt,looks like trouble
llta,lots and lots of thunderous applause
lly,licking love you
lm46,let's meet for sex
lm4a~##zzzz>,let's meet for a joint
lmao,laughing my ass off
lmbao,laughing my black ass off
lmbpo,laughing my booty pop off
lmfao,laughing my f***ing ass off
lmho,laughing my head off
lmirl,let's meet in real life
lmk,let me know
lmkhtwofy,let me know how that works out for you
lmoa,left a message on your answering machine
lmp,lick my pussy
lms,like my status 
lmso,laughing my socks off
lmta,like minds think alike
lmtc,left a message to contact
lmtcb,left message to call back
lok,lots of kisses
lol,laughing out loud 
lol wuss,laugh out loud with unintentional snort sound
lola,laugh out loud again
lolpmp,laugh out loud peed my pants
lolrotf&icgu;,laughing out loud rolling on the floor & i can't get up
lolz,lots of laughs
lombard,lots of money but a right dick
loml,love of my life
lonh,"lights on, nobody home"
lool,laughing outrageously out loud
loomm,laughing out of my mind
lopsod,"long on promises, short on delivery"
lou,laughing over you
lpc,lead pipe cinch
lpos,lazy piece of sh**
lrf,little rubber feet
lsb,life sucks balls
lshitipal,laughing so hard i think i peed a little
lshmbh,laughing so hard my belly hurts
lsv,"language, sex, violence"
ltf,lick the floor
lthtt,laughing too hard to type
ltic,laughing 'til i cry
ltio,laughing til i orgasm
ltm,laughing to myself
ltns,long time no see
ltnt,"long time, no type"
ltr,long term relationship
ltrp,long term relationship pussy
lts,laughing to self
lttic,look the teacher is coming
lu,locked up
luk,it means good luck
lulz,laughs or lulzsec
lumtp,love you more than pie
lumu,love you miss you
lumumi,love you miss you mean it
luser,loser
lusm,love you so much
luv,it means love
lwr,launch when ready
lwu,laughing with you
lwys,look what you started
ly,love you
ly4e,love you forever
lya,love you all
lyb,love you babe
lycylbb,"love you, see you later, bye bye"
lykyamy,"love you, kiss you, already miss you"
lyl,love you lots
lylab,love you like a brother
lylas,love you like a sister
lylb,love you later bye
lymi,"love you, mean it"
lysouaq,learn your sh** or up and quit
lysyb,"love ya, see ya, bye"
lywamh,love you with all my heart
m,male or female
m2ny,"me too, not yet"
m4c,meet for coffee
m4m,men for men 
m4w,men for women
m8 ,mate 
maga,make america great again
mamil,middle aged men in lycra
maya,most advanced yet accessible
mb,message board
mbn,must be nice
mbrfn,must be real f***ing nice
mcm,man crush monday
md,doctor of medicine 
mdr,mort de rire
mego,my eyes glaze over
meh,"who cares, whatever"
mejr,my eyes just rolled
merp,modestly enlightened rich people
mf,my friend
mfd,multi-function device
mfg,mit freundlichen gruessen
mfic,mother f***er in charge
mfrc,my fingers are crossed
mfwic,mother f***er who's in charge
mhbfy,my heart bleeds for you
mhhm,uh huh 
mhoty,my hat's off to you
mhyf,move how you feel
mia,missing in action
mih,make it happen
mihap,may i have your attention please
milf,mother i'd like to f***
mins,minutes
mirl,meet in real life
mitin,more info than i needed
mkop,my kind of place
mla,multiple letter acronym
mlas,my lips are sealed
mlm,giving the digital middle finger
mlylt,me love you long time
mm,market maker 
mmha2u,my most humble apologies to you
mmk,mmm ok
mml,made me laugh
mmyt,mail me your thoughts
mof,matter of fact
mofo,mother f***er
mompl,moment please
mooc,massive open online course
motas,member of the appropriate sex
motd,message of the day
motos,member(s) of the opposite sex
motss,member(s) of the same sex
mpfb,my personal f*** buddy
mra,moving right along
mrm,men's rights movement
mrph,mail the right place for help
msg,message
msm,main stream media 
msmd,monkey see monkey do
msnuw,mini-skirt no underwear
msta,must see to appreciate
mstm,makes sense to me
mt,empty 
mtbf,mean time before failure
mtf,more to follow
mtfbwy,may the force be with you
mtla,my true love always
mtmmfbwy,may the micky mouse force be with you
mtsbwy,may the schwartz be with you
mtsitn,more than ships in the night
muah ,the sound of a kiss
mubar,messed up beyond all recognition
musl,missing you sh** loads
musm,miss you so much
mva,motor vehicle accident
mva no pi,motor vehicle accident with no personal injury
mva w/pi,motor vehicle accident with personal injury
mvto,it means thank you
mwbrl,more will be revealed later
mws,my wife says
myl,mind your language
myob,mind your own business
myt,meet you there
n,no 
n pic,nice picture
n-a-y-l,in a while
n/a,not applicable 
n/m,nothing much
n/t,no text
n1,nice one
n2m,not to mention 
n2mjchbu,"not too much just chillin, how bout you?"
na,nice ass
nadt,not a damn thing
nagb,nearly almost a good bridge
nagi,not a good idea
nak,nursing at keyboard
nalopkt,not a lot of people know that
namailu,not as much as i love you
nascar,non-athletic sport centered around rednecks
natc,not a text conversation
nato,"no action, talk only"
naz,"name, address, zip (also means nasdaq)"
nb,nota bene
nb4t,not before time
nbd,no big deal
nbfab,not bad for a beginner
nbfabs,not bad for a bot stopper
nbg,no bloody good
nbif,no basis in fact
nblfy,nothing but love for you
nbs,no bull sh**
nc,nice crib
ncg,new college graduate
nd,no date
ndn,indian
ne,any
ne-wayz,anyways
ne1,anyone
ne14kfc,anyone for kfc?
ne1er,anyone here?
ne2h,need to have
neet,"not currently engaged in employment, education, or training"
nesec,any second
nev,neighborhood electric vehicle
nfbsk,not for british school kids
nfc,not favorably considered 
nfe,no f***ing excuses
nff,no f***ing fair
nfg,not f***ing good
nfi,no f***ing idea
nfs,need for sex 
nfw,no f***ing way 
ng,new game
ngb,nearly good bridge
ngh,not gonna happen
nh,nice hand
nhoh,never heard of him/her
ni,not interested
ni4ni,an eye for an eye
nidl,"not interested, dislike"
nifoc,nude in front of the computer
nigyysob,"now i've got you, you son of a b*tch"
nih,not invented here
nim,no internal message
nimby,not in my back yard
nimjd,not in my job description
nimq,not in my queue
nimy,never in a million years
nino,"nothing in, nothing out "
nism,need i say more
nitl,not in this lifetime
niywfd,not in your wildest f***ing dreams
njapf,not just another pretty face
nll,nice little lady
nltbro,not likely to be run over
nm,never mind 
"nm, u","not much, you?"
nme,enemy
nmh,not much here
nmhjc,"not much here, just chilling"
nmm,#nomakeupmonday
nmp,not my problem 
nmte,now more than ever
nmu,"not much, you?"
nn,not now 
nncimintfz,"not now chief, i'm in the f ***in' zone"
nnr,need not respond
nnsh,night night sweet heart
nnww,"nudge, nudge, wink, wink"
no praw,no problem
no1,it means no one
noa,not online anymore
nofi,no offence intended
noob,also seen as: n00b 
noy,not online yet
noyb,none of your business
np,no problem 
nqa,no questions asked
nqocd,not quite our class dear
nr,nice roll
nrg,energy
nrn,no reply necessary
ns,nice set 
nsa,no strings attached
nsb,not sure but
nsfw,not safe for work
nss,no sh** sherlock
nstlc,need some tender loving care
nta,not this again
ntabom,now that's a bunch of malarkey
ntb,not too bright
ntbm,not to be missed
ntbn,no text back needed
nth,nothing
ntim,not that it matters
ntimm,not that it matters much
ntk,nice to know
ntl,nonetheless
ntm,not that much
ntmu,nice to meet you
nttawwt,not that there's anything wrong with that
ntw,not to worry
ntymi,now that you mention it
nuff,enough
nvm,never mind
nvng,"nothing ventured, nothing gained"
nw,no way
nwal,nerd without a life
nwot,new without tags
nwr,not work related
nwt,new with tags
nyc,not your concern
nycfs,new york city finger salute
o,opponent 
oao,over and out
oatus,on a totally unrelated subject
oaus,on an unrelated subject
obe,overcome by events
obo,or best offer
obtw,oh by the way
obx,old battle axe
oc,original character 
ocd,obsessive compulsive disorder
odtaa,one damn thing after another
ofap,old fart at play
ofc,of course
og,original gangsta
oic,"oh, i see"
oicu812,"oh i see, you ate one too"
oirwis,oh i remember what i said
ok,okay 
ol,old lady
oll,online love
oln,online netiquette
olo,only laughed once
omb,oh my buddha
omdb,over my dead body
ome,oh my evolution
omfg,oh my f***ing god
omg,oh my god
omik,"open mouth, insert keyboard"
oml,oh my lord
omma,oh my aching ass
omw,on my way 
omwt,on my way too
onid,oh no i didn't
onna,"oh no, not again"
onnta,"oh no, not this again"
onud,oh no you didn't
oo,over and out
ooak,one of a kind
ooc,out of character 
oof,out of facility
ooi,out of interest
ooo,out of office 
oos,out of stock
oot,out of touch
ootb,out of the box 
ootc,obligatory on topic comment
osif,oh sh** i forgot
osintot,oh sh** i never thought of that
ost,on second thought
ot,off topic
otasoic,owing to a slight oversight in construction
otc,over the counter
otf,on the floor 
oth,off the hook
otl,out to lunch
otoh,on the other hand
otp,on the phone
ots,on the scene 
ott,over the top
ottomh,off the top of my head
otw,off the wall 
ousu,oh you shut up
owtte,or words to that effect
p,partner
p&c;,private & confidential
p-za,pizza
p/u,pick up
p2c2e,process too complicated too explain
p2u4uraqtp,peace to you for you are a cutie pie
p3r50n,it means person
p911,parent alert
pac,political action committee
pax,passengers
pb,potty break
pbb,parent behind back
pbem,play by email
pbiab,pay back is a bitch
pbj,peanut butter and jelly 
pc,personal computer 
pcm,please call me
pcmcia,people can't memorize computer industry acronyms
pd,public domain
pda,personal digital assistant 
pdoma,pulled directly out of my ass
pdq,pretty darn quick
pds,please don't shout
pebcac,problem exists between chair and computer
pebcak,problem exists between chair and keyboard
pen15,it stands for penis
pfa,pulled from ass 
pfc,pretty f***ing cold
pfm,pure f***ing magic
phat,pretty hot and tempting
phb,pointy haired boss
phs,pointy haired stupidvisor
piaps,pig in a pant suit
pibkac,problem is between keyboard and chair
pif,paid in full
pimpl,peeing in my pants laughing
pir,parent in room
pitmemboam,peace in the middle east my brother of another mother
plo,"peace, love, out"
plokta,press lots of keys to abort
plos,parents looking over shoulder
pls,please
plu,people like us
plur,"peace, love, unity, respect"
plz,please
pm,personal message 
pmbi,pardon my butting in
pmf,pardon my french
pmfji,pardon me for jumping in
pmht,pardon my hashtag a.k.a. #pmht
pmigbom,put mind in gear before opening mouth
pmji,pardon my jumping in
pml,pissing myself laughing
pmn,picking my nose
pmp,peeing my pants
pmsl,pissed myself laughing
pnatmbc,pay no attention to man behind the curtain
pnattmbtc,pay no attention to the man behind the curtain
pncah,"please, no cursing allowed here"
pnd,possibly not definitely 
po,piss off
po-mo,post-modern
poahf,put on a happy face
poak,passed out at keyboard
poms,parent over my shoulder
pona,person of no account
pos,parent over shoulder 
posc,piece of sh** computer
posslq,persons of the opposite sex sharing living quarters
potus,president of the united states
pov,point of view
pp,personal problem
ppl,people 
ppppppp ,prior proper planning prevents piss poor performance
prt,partial retweet 
prw,parents are watching
ps,post script
psa,public service announcement
pse,porn star experience
pso,product superior to operator
ptat,people talking about this
pth,prime tanning hours
ptl,praise the lord
ptmm,please tell me more
ptoyed,please turn off your electronic devices
ptp,pardon the pun
ptpop,pat the pissed off primate
pu,that stinks
puh,personal umbrella handler
puter,computer
pvp,player versus player
pw,password
pwas,prayer wheels are spinning
pwcb,person will call back
pwms,playing with myself
pwn,own
pwnt,owned
pwoms,parent watching over my shoulder
pwp,"plot, what plot?"
pyfb,pay your f***ing bill
pyop,pray your own prayer
q,queue 
q2c,quick to cum
q416,it means: quarter 4 in 2016
qc,quality control
qft,quoted for truth 
qix,it means quick
ql,quit laughing
qls,reply
qotd,quote of the day
qq,quick question 
qs,quit scrolling
qt,cutie 
qyb,quit your bitching
r,are
r u da?,are you there?
r u goin?,are you going?
r u there?,are you there?
r&d;,research & development
r&r;,rest & relaxation
raebnc,"read and enjoyed, but no comment"
raf,random as f***
rafo,read and find out
rb@ya,right back at ya
rbay,right back at you
rbf,referencing bitch face
rbtl,read between the lines
rbu,"rainbows, butterflies, unicorns"
rc,remote control
rci,rectal cranial inversion
rdv,reader's digest version
rehi,hi again
reso,reservation
rfd,request for discussion
rfp,request for proposal
rfr,really f***ing rich
rfs,really f***ing soon
rgds,it means regards
rgr,roger
rhip,rank has its privileges
rhk,roundhouse kick
ri&w;,read it and weep
rimjs,really i'm just saying
rino,republican in name only
riyl,recommended if you like
rkba,right to keep and bear arms
rl,real life
rlco,real life conference
rlf,real life friend
rm,remake
rmb,rings my bell
rmetth,rolling my eyes to the heavens
rmlb,read my lips baby
rmma,reading my mind again
rmmm,read my mail man
rn,right now
rnn,reply not necessary
rny,it means rainy
rofl,rolling on floor laughing
roflmao,rolling on floor laughing my ass off
roflmaoastc,rolling on floor laughing my ass off and scaring the cat
roflol,rolling on floor laughing out loud
ror,raffing out roud (in scooby-doo dialect)
rotfl,rolling on the floor laughing
rotflmao,rolling on the floor laughing my ass off
rotflmfao,rolling on the floor laughing my f***ing ass off
rotflol,rolling on the floor laughing out loud
rotgl,rolling on the ground laughing
rotglmao,rolling on the ground laughing my ass off
rotm,right on the money
rpg,role playing games
rrq,return receipt requested
rrr,har har har (instead of lol)
rsn,real soon now
rsvp,repondez s'il vous plait
rt,retweet
rta,road traffic accident
rtb,returning to base
rtbm,read the bloody manual
rtbs,reason to be single
rtfaq,read the faq
rtff,read the f***ing faq
rtfm,read the f***ing manual
rtfq,read the f***ing question
rth,release the hounds
rtk,return to keyboard
rtm ,read the manual 
rts,read the screen
rtsm,read the silly manual
rtss,read the screen stupid
rttsd,right thing to say dude
rtwfq,read the whole f***ing question
ru,are you?
ru/18,are you over 18?
rufkm,are you f***ing kidding me?
ruh,are you horny?
rumcymhmd,are you on medication cause you must have missed a dose
rumorf,are you male or female?
ruok,are you ok?
rus,are you serious?
rusos,are you sos (in trouble)?
ruup4it,are you up for it?
ru\\18,are you under 18?
rx,regards
ryfm,read your friendly manual
ryo,roll your own
rys,read your screen
s2r,send to receive
s2u,same to you
s3<==8,screwed in the ass
s4b,sh** for brains
s4l,spam for life
sadad,suck a dick and die
sahm,stay at home mom
saia,stupid asses in action
sanm,starting a new message
sapfu,surpassing all previous foul ups
sb,stand by
sbi,sorry 'bout it
sbta,"sorry, being thick again"
sbug,small bald unaudacious goal
sc,stay cool
scnr,"sorry, could not resist"
scotus,supreme court of the united states
scuicht,so coked up i can hardly type
sdc,saturday (or sunday) drinking club
sdfb,smoke dope f*** b*tches
sdk,scottie doesn't know 
sed,said enough darling
seg,sh** eating grin
sep,somebody else's problem
sete,smiling ear to ear
sewag,scientifically engineered wild ass guess
sf,surfer friendly 
sfaiaa,so far as i am aware
sfb,sh** for brains
sfete,smiling from ear to ear
sfla,stupid four letter acronym
sfp,sorry for partying
sfttm,stop f***ing talking to me
sfx,sound effects 
sgtm,sounds good to me
sh,sh** happens
shb,should have been
shhh,quiet
shid,slap head in disgust
shmily,see how much i love you
sht,it means so hot
shtf,sh** hits the fan
shwaslomf,sitting here with a straight look on my face
sia,say it again
sicl,sitting in chair laughing
sii,seriously impaired imagination
sil,sister-in-law
sird,"sorry, incorrect recipient, disregard"
sitd,still in the dark
situbi,say it til you believe it
siup,suck it up pussy
siuya,shove it up your ass
siy,search inside yourself
sj,strong jaws
sk8er,skater
sk8r,skater
sknkr,skincare
sl,second life
slirk,smart little rich kid
slm,see last mail
slom,sticking leeches on myself
slt,something like that
sm,senior moment
sm1,it means someone
smaim,send me an instant message
smao,sweating my ass off
smb,suck my balls
smd,suck my dick
sme,subject matter expert
smem,send me e-mail
smh,shaking my head
smilf,single mother i'd like to fuck
smim,send me an instant message
smize,smile with your eyes
smop,small matter of programming
smt,something
sn,side note
snert,snotty nosed egotistical rotten teenager
snif,simple nice index file
snl,same night lay
snnshwrs,it means sun showers
snny,it means sunny
sobt,stressed out big time
soddi,some other dude did it
soe,start of exams
sogop,sh** or get off the pot
soh,sense of humor
sohf,sense of humor failure
soho,small office home office
soi,self owning idiot
soiar,sit on it and rotate
soic,so i see
sok,it's ok
solomo,"social, local, mobile"
some1,someone
somf,sit on my face
somy,sick of me yet
sooya,snake out of your ass
sosad,same old song and dance
sotmg,"short on time, must go"
soz,sorry
spk,it means speak
spoc,single point of contact
srlb,spoiled rotten little brat
sro,standing room only
sroi,social return on investment
srsly,seriously
sry,it means sorry
ssa,ass backwards
ssc,super sexy cute
ssdd,same sh** different day
ssewba,"someday soon, everything will be acronyms"
ssia,subject says it all
sta,short term attitude
stbx,soon to be ex
stby,sucks to be you
std,"seal the deal, save the date, sexually transmitted disease, stuff to do"
stfu,shut the f*** up
stfw,search the f***ing web
sth,something
sthu,shut the hell up
stm,spank the monkey
stml,short term memory loss
stppynozgtw,"stop picking your nose, get to work"
str8,straight
sts,so to speak
stst,sweet tea sweetie
stw,search the web
stys,speak to you soon
su,shut up
suac,sh** up a creek
suakm,shut up and kiss me
sufi,super finger 
sufid,screwing up face in disgust
sul,snooze you lose
sux,sucks
suyf,shut up you fool
swak,sealed (or sent) with a kiss
swalbcakws,sealed with a lick because a kiss won't stick
swalk,sealed with a loving kiss
swdyt,so what do you think?
sweet<3,sweetheart
swf,single white female
swis,see what i'm saying
swit,sit and sweat
swl,screaming with laughter
swmbo,she who must be obeyed
swu,so what's up
sxe,straight edge
syk,so you know
syl,see you later
sys,see you soon
syt,see you tomorrow
s^,what's up?
t&c;,terms & conditions
t+,it means think positive
t2go,time to go
t2ul,talk to you later
t2ut,talk to you tomorrow
t@yl,talk at you later
ta,thanks again
tabom,that's a bunch of malarkey
tabooma,take a bite out of my ass
taf,"that's all, folks"
tafn,that's all for now
tah,take a hike
tahitmots,there's a hole in the middle of the sea
taks,that's a knee slapper
tanj,there ain't no justice
tansit,there's a new sheriff in town
tanstaafl,there ain't no such thing as a free lunch
tarfu,things are really f***ed up
tas,taking a shower
taw,teachers are watching
tayn,thinking about you now
tb,titty bar
tba,to be advised
tbc,to be continued
tbd,to be determined
tbe,thick between ears
tbh,to be honest
tbiu,the bitch is ugly
tbt,throwback thursday
tbu,thinking 'bout you
tbyb,try before you buy
tc,take care
tcb,trouble came back 
tck,third culture kid
tcob,taking care of business
tcoy,take care of yourself
td&h;,"tall, dark and handsome"
tdm,too darn many
tdtm,talk dirty to me
teotwawki,the end of the world as we know it
tf,too funny
tfds,that's for darn sure
tfh,thread from hell
tflms,thanks for letting me share
tfm,thanks from me
tfmiu,the f***ing manual is unreadable
tfn,thanks for nothing 
tfs,thanks for sharing 
tftc,thanks for the cache
tfthaot,thanks for the help ahead of time
tftt,thanks for the thought
tftu,thanks for the update
tfw,that feeling when
tfx,traffic
tfys,the f*** you say
tg4a,thank god for acronyms
tgal,"think globally, act locally"
tggtg,that girl/guy has got to go
tgif,thank god it's friday
thx ,thanks
tia,thanks in advance
tiail,think i am in love
tigas,think i give a sh**
tilf,teacher i'd like to f***
tilii,tell it like it is
tingtes,"there is no gravity, the earth sucks"
tinwis,that is not what i said
tisc,this is so cool
tisl,this is so lame
tisnc,this is so not cool
tisnf,that is so not fair
tisnt,that is so not true
tjbnj,this job beats no job
tk,to come
tko,technical knock out
tku4uk,thank you for your kindness
tl;dr,too long; didn't read
tla,three letter acronym
tlc,tender loving care
tlgo,the list goes on
tlitbc,that's life in the big city
tlk2ul8r,talk to you later
tm,trust me
tma,too many acronyms
tmalss,to make a long story short
tmi,too much information
tmsaisti,that's my story and i'm sticking to it
tmsgo,too much sh** going on
tmtowtdi,there's more than one way to do it
tmtt,too much to type
tna,temporarily not available
tnc,tongue in cheek
tnln,"took nothing, left nothing"
tno,tell no one
tnt,til next time
tntl,trying not to laugh
tnx,thanks
to go nookleer,to explode
tobal,there oughta be a law
tobg,this oughta be good
tomtb,taking off my training bra
toon,short for cartoon
topca,til our paths cross again
tp,team player 
tpc,the phone company
tpiyp,to put in your prayers
tps,that's pretty stupid
tpt,trailor park trash
tptb,the powers that be
tqm,total quality management
trdmc,tears running down my cheeks
tripdub,it means www
trndo,it means tornado
troo,true
trp,television rating points
ts,tough sh** 
tsb,"tall, sexy, beautiful"
tsh,too stinkin' hot
tsia,this says it all
tsif,thank science it's friday
tsnf,that's so not fair
tsob,tough son of a b*tch
tsr,totally stuck in ram 
tsra,two shakes of a rat's ass
tstb,"the sooner, the better"
tstl,to stupid to live
tt,big tease
tta,tap that ass
ttbomk,to the best of my knowledge
ttfn,ta ta for now
ttg,time to go
ttiot,the truth is out there
ttksf,trying to keep a straight face
ttmf,ta ta mofo
tts,text to speech
ttt,that's the ticket 
ttth,talk to the hand
ttthtfal,talk to the hand the face ain't listening
tttka,time to totally kick ass
tttt,to tell the truth
ttul,talk to you later
ttyawfn,talk to you a while from now
ttyiaf,talk/type to you in a few
ttyl,talk to you later 
ttyl8r,talk to you later
ttyob,tend to your own business
ttys,talk to you soon
ttyt,talk to you tomorrow
tu,toes up (as in dead)
tvm4yem,thank you very much for your e-mail
twd,texting while driving
twhab,this won't hurt a bit
twhe,the walls have ears
twimc,to whom it may concern
twita,that's what i'm talking about
twiwi,"that was interesting, wasn't it?"
twss,that's what she said
twtr,twitter
twu,that's what's up
txs,thanks
txt,text
txt im,text instant message
txt msg,text message
ty,thank you
tyclo,turn your caps lock off
tyg,there you go 
tyl,text you later 
tyvm,thank you very much
u,you
u up,are you up?
u-l,you will
u2,you too
u4e,yours forever
u8,you ate?
ubs,unique buying state
ucwap,up a creek without a paddle
udh82bme,you'd hate to be me
udm,you're the man
ufn,until further notice
ufuf,"you f***, you fix"
ug2bk,you've got to be kidding
ugc,user-generated content
ugfsu,your girlfriend's ugly
ugtr,you got that right
umk,you must know
unf,universal noise of fucking
unoit,you know it
unpc,unpolitically correct
unt,until next time
untco,you need to chill out
uok,are you ok?
upod,under promise over deliver
ur,you are
ur2k,you are too kind
urapita,you are a pain in the ass
ursai,you are such an idiot
urw,you are welcome
urws,you are wise
uryy4m,you are too wise for me
urz,yours
usc,up sh** creek
uscwap,up sh** creek without a paddle
usp,unique selling proposition
utm,you tell me
uv,unpleasant visual
uwiwu,you wish i was you
uwm,you want me
ux,user experience
v,very
vbg,very big grin
vbmg,very big mischievous grin
vbs,very big smile
vc,venture capital
vcda,"vaya con dios, amigo"
vfm,value for money
vgn,vegan 
vip,very important person
viv,very important visitor
vm,voice mail
vrbs,virtual reality bull sh**
vsf,very sad face
vwd,very well done
vwp,very well played
w,"it means cool, a.k.a. word up"
w wult,what would you like to talk about
w's^,what's up?
w/,with
w/e,weekend
w/o,without
w/r/t,with regard to
w00t,we own the other team
w4m,women for men
w8,wait
w9,wife in room
w@,what?
wabi,what a bright idea
waboc,what a bunch of crap
wabom,what a bunch of malarkey
waci,what a cool idea
wadr,with all due respect
waef,when all else fails
wafb,what a f***ing bitch
wafm,what a f***ing mess
wafs,warm and fuzzies
wafu,what a f*** up
wai,what an idiot
wak,what a kiss
wambam,web application meets brick and mortar
wan2,it means want to
wati,what a terrible idea
watn,where are they now
waw,waiter/actor/webmaster 
wawi,what a wonderful idea
wayd,what are you doing?
wayn,where are you now?
wb,welcome back 
wbs,write back soon
wbu,what 'bout you?
wc,who cares 
wca,who cares anyway
wckd,it means wicked
wcmtsu,we can't make this sh** up
wcw,woman crush wednesday
wd,well done
wdalyic,who died and left you in charge?
wddd,woopie doo da dey
wdr,with due respect
wdt,who does that?
wdym,what do you mean?
wdymbt,what do you mean by that?
wdys,what did you say?
wdyt,what do you think?
weg,wicked evil grin
wenja,it means when do you
werja,it means where do you
werru,it means where are you
werubn,it means where have you been
wetsu,we eat this sh** up
wf,way fun
wfm,works for me
wg,wicked grin
wgaff,who gives a flying f***
wgmgd,what get's measured get's done
whydtm,what have you done to me?
wibamu,"well, i'll be a monkey's uncle"
wibni,wouldn't it be nice if
wiifm,what's in it for me
wiify,what's in it for you
wiiwii,well it is what it is
wilb,workplace internet leisure browsing
wilco,will comply
wim,woe is me
wip,work in process
wirld,world
witfits,what in the f*** is this sh**
witw,what in the world
wiu,wrap it up
wk,it means week
wkewl,way cool
wknd,it means weekend
wlmirl,would like to meet in real life
wlu,"wicked, love you"
wlu2,"wicked, love you too"
wmhgb,where many have gone before
wmmows,wash my mouth out with soap
wmpl,wet my pants laughing
wndy,it means windy
wnohgb,where no one has gone before
woa,work of art
wog,wise old guy
wom,word of mouth 
womobijo,working mother with a big job
woot,we own the other team
wotam,waste of time and money
wotd,word of the day
wp,well played
wrm,it means warm
wrt,with regard to 
wru,where are you?
wrud,what are you doing?
wrudatm,what are you doing at the moment?
wsu,what say you?
wt,without thinking 
wtas,wanna take a shower?
wtb,want to buy
wtdb,what's the difference between
wtf,what the f***
wtfdyjs,what the f*** did you just say?
wtfgda,"way to f***ing go, dumb ass"
wtfh,what the f***ing hell
wtfwycm,why the f*** would you call me?
wtfytt,who the f*** you talking to
wtg,way to go
wtg4a\\%/,want to go for a drink
wtgp,want to go private?
wth,what the heck
wthin,what the hell is next
wthow,white trash headline of the week
wtmc,what the mother c***
wtmi,way too much information
wtn,what then now? 
wts,want to sell
wtsds,where the sun don't shine
wtshtf,when the sh** hits the fan
wttm,without thinking too much
wu,what's up
wuf,where you from
wuwh,wish you were here
wuwhima,wish you were here in my arms
wuz,was
wuz4dina,what's for dinner?
wuzup,what's up?
wwjd,what would jesus do?
wwno,walker wheels need oil
wwsd,what would satan do?
www,world wide web 
wwy,where were you?
wx,weather
wycm,will you call me?
wyd,what you doing?
wyfm,would you f*** me?
wygiswypf,what you get is what you pay for
wym,what do you mean?
wymyn,women
wyp,what's your problem?
wyrn,what's your real name?
wys,whatever you say
wysilob,what you see is a load of bullocks
wysiwyg,what you see is what you get
wyslpg,what you see looks pretty good
wyt,whatever you think
wytb,wish you the best
wyw,wish you well
wywh,wish you were here
x,it means times
x-i-10,exciting
xlnt,excellent
xme,excuse me
xoxo,hugs and kisses
xoxozzz,hugs and kisses and sweet dreams
xqzt,exquisite
xtc,ecstasy
xxcc,"kiss, kiss, hug, hug"
y,why? 
ya yaya,yet another ya-ya (as in yo-yo)
yaba,yet another bloody acronym
yaf,young angry female
yafiygi,you asked for it you got it
yajwd,you ain't just whistling dixie
yaotm,yet another off topic message
yarbwyr,you're a right bleed'n wanker you are
yatfm,you are too f***ing much
yati,you're a total idiot
yaun,yet another unix nerd
yb,you b*tch
ybf,you've been f***ed
ybs,you'll be sorry
yby,yeah baby yeah
ybysa,you bet your sweet ass
ycmtsu,you can't make this sh** up
ycmu,you crack me up
yct,your comment to
ydkm,you don't know me
yeppies,young experimenting perfection seekers
yf,wife
ygbk,you gotta be kidding
ygbsm,you gotta be sh**ing me
yglt,you're gonna love this
ygm,you've got mail
ygtbk,you've got to be kidding
ygwypf,you get what you pay for
yhm,you have mail
yic,yours in christ
yimby,yes in my back yard
yiu,"yes, i understand"
yiwgp,"yes, i will go private"
ykw,you know what?
ykwim,you know what i mean
ylh,your loving husband
yllo,you lie like obama
ylw,your loving wife
ym,your mother
ymak,you may already know
ymal,you might also like
ymbkm,you must be kidding me
ymmd,you make my day 
ymmv,your mileage may vary
ymybnycsii,you made your bed now you can sleep in it
yngbt,you're not gonna believe this
ynk,you never know
yolo,you only live once
yooper,someone from u.p.
yoyo,you're on your own
yr,yeah right 
yryocc,you're running on your own cuckoo clock
ys,you stinker
ysan,you're such a nerd
ysdiw8,why should i wait?
ysic,why should i care?
ysk,you should know
ysyd,"yeah, sure you do"
ytb,you're the best
ytrnw,"yeah that's right, now what?"
yttm,you talk too much
yttt,you telling the truth?
yttwroomm,you took the words right out of my mouth
yumpi,young upwardly mobile professional idiot
yvw,you're very welcome
yw,you're welcome
ywia,you're welcome in advance
yy4u,too wise for you
yyssw,yeah yeah sure sure whatever
z,it means said
zerg,to gang up on someone
zmg ,oh my god
zzz,"sleeping, bored, tired"
\m/,heavy metal music
^5,high five
^rup^,read up please
^urs,up yours
notcie,notice
